CEP Inicial,CEP Final,Taxa,
74620410,74620410,"R$ 12,00",
74620410,74620410,"R$ 12,00",
74630010,74630170,"R$ 12,00",
74633020,74633020,"R$ 8,00",
74633040,74633125,"R$ 8,00",
74633130,74633154,"R$ 5,00",
74633165,74633165,"R$ 8,00",
74633180,74633240,"R$ 12,00",
74633260,74633265,"R$ 8,00",
74633270,74633283,"R$ 12,00",
74633300,74633300,"R$ 8,00",
74633340,74633370,"R$ 8,00",
74633375,74633399,"R$ 8,00",
74633400,74633420,"R$ 12,00",
74635015,74635090,"R$ 8,00",
74635100,74635120,"R$ 8,00",
74635130,74635132,"R$ 8,00",
74635140,74635180,"R$ 8,00",
74640010,74645971,"R$ 8,00",
74650010,74650420,"R$ 8,00",
74653030,74653230,"R$ 8,00",
74653900,74653900,"R$ 12,00",
74655030,74655130,"R$ 8,00",
74655140,74655145,"R$ 8,00",
74655150,74655180,"R$ 8,00",
74655190,74655240,"R$ 8,00",
74655245,74655245,"R$ 8,00",
74655250,74655315,"R$ 8,00",
74655340,74655390,"R$ 8,00",
74660010,74660180,"R$ 12,00",
74660195,74660195,"R$ 12,00",
74660200,74660320,"R$ 8,00",
74660325,74660325,"R$ 12,00",
74660330,74660330,"R$ 8,00",
74660340,74660360,"R$ 8,00",
74660370,74660370,"R$ 8,00",
74660380,74660400,"R$ 8,00",
74660410,74660410,"R$ 12,00",
74660420,74660420,"R$ 8,00",
74660959,74660970,"R$ 12,00",
74670010,74672042,"R$ 12,00",
74672020,74672020,"R$ 0,00",CREDIARIO
74672150,74672400,"R$ 15,00",
74672420,74672830,"R$ 12,00",
74675541,74675541,"R$ 15,00",
74675831,74675831,"R$ 15,00",
74680010,74680520,"R$ 15,00",
74681610,74681632,"R$ 15,00",
74681610,74681632,"R$ 15,00",
74682100,74682123,"R$ 12,00",
74683115,74683129,"R$ 15,00",
74683730,74683740,"R$ 15,00",
74684015,74684022,"R$ 15,00",
74684100,74684369,"R$ 15,00",
74684100,74684369,"R$ 15,00",
74684370,74684425,"R$ 15,00",
74684370,74684425,"R$ 15,00",
74684430,74684445,"R$ 15,00",
74684570,74684654,"R$ 15,00",
74684660,74684688,"R$ 15,00",
74685020,74685610,"R$ 15,00",
74685800,74685840,"R$ 15,00",
74690881,74690887,"R$ 15,00",
74691300,74691365,"R$ 15,00",
74692145,74692158,"R$ 15,00",
74692200,74692210,"R$ 15,00",
74692217,74692260,"R$ 15,00",
74694201,74694226,"R$ 15,00",
74694301,74694317,"R$ 15,00",
74703210,74703250,"R$ 12,00",
74703350,74703380,"R$ 15,00",
74711000,74711080,"R$ 8,00",
74713010,74713140,"R$ 15,00",
74720140,74720290,"R$ 12,00",
74723010,74723350,"R$ 15,00",
74730480,74730580,"R$ 15,00",
74735300,74735460,"R$ 15,00",
74735300,74735460,"R$ 15,00",
74735461,74735590,"R$ 12,00",
74735650,74735660,"R$ 15,00",
74740010,74740270,"R$ 12,00",
74740280,74740340,"R$ 12,00",
74740350,74740450,"R$ 12,00",
74740460,74740510,"R$ 15,00",
74740460,74740510,"R$ 15,00",
74740460,74740510,"R$ 15,00",
74740511,74740516,"R$ 15,00",
74769745,74769763,"R$ 15,00",
74770010,74770260,"R$ 15,00",
74770270,74770435,"R$ 15,00",
74771000,74771014,"R$ 15,00",
74780010,74780370,"R$ 15,00",
74780570,74780650,"R$ 15,00",
74780710,74780730,"R$ 15,00",
74780734,74780738,"R$ 15,00",
74780811,74780835,"R$ 15,00",
74781001,74781019,"R$ 15,00",
74781100,74781130,"R$ 15,00",
74781150,74781210,"R$ 15,00",
74781211,74781250,"R$ 15,00",
74781251,74781259,"R$ 15,00",
74785109,74785730,"R$ 15,00",
74785802,74785840,"R$ 15,00",
74786110,74786180,"R$ 15,00",
74786350,74786405,"R$ 15,00",
74786350,74786405,"R$ 15,00",
74786420,74786477,"R$ 15,00",
74787601,74787623,"R$ 15,00",
74787601,74787623,"R$ 15,00",
74805010,74805530,"R$ 12,00",
74805531,74805596,"R$ 12,00",
74805900,74810970,"R$ 8,00",
74815010,74815360,"R$ 12,00",
74815390,74815448,"R$ 8,00",
74815450,74815530,"R$ 8,00",
74815540,74815560,"R$ 12,00",
74815700,74815900,"R$ 12,00",
74820005,74820040,"R$ 8,00",
74820049,74820059,"R$ 15,00",
74820060,74820060,"R$ 8,00",
74820061,74820063,"R$ 15,00",
74820065,74820902,"R$ 12,00",
74823020,74823250,"R$ 8,00",
74823310,74823470,"R$ 8,00",
74823901,74823904,"R$ 8,00",
74823905,74823905,"R$ 8,00",
74823959,74823970,"R$ 8,00",
74823971,74824959,"R$ 8,00",
74825010,74825280,"R$ 8,00",
74830020,74830020,"R$ 12,00",
74830030,74830035,"R$ 8,00",
74830040,74830075,"R$ 12,00",
74830080,74830101,"R$ 8,00",
74830110,74830110,"R$ 12,00",
74830130,74830130,"R$ 12,00",
74830140,74830150,"R$ 12,00",
74830160,74830435,"R$ 12,00",
74835010,74835020,"R$ 12,00",
74835050,74835150,"R$ 12,00",
74835180,74835190,"R$ 12,00",
74835270,74835270,"R$ 12,00",
74835650,74835658,"R$ 12,00",
74835900,74835900,"R$ 12,00",
74843710,74843745,"R$ 12,00",
74844000,74844020,"R$ 15,00",
74845010,74850310,"R$ 12,00",
74850570,74850680,"R$ 12,00",
74853010,74853420,"R$ 12,00",
74863210,74863260,"R$ 12,00",
74865010,74865420,"R$ 12,00",
74865430,74865445,"R$ 12,00",
74883005,74883104,"R$ 15,00",
74884526,74884589,"R$ 15,00",
74884590,74884621,"R$ 15,00",
74884630,74884662,"R$ 15,00",
74884665,74884687,"R$ 15,00",
74884902,74884902,"R$ 15,00",
74888000,74888090,"R$ 15,00",
74890711,74890737,"R$ 15,00",
74891000,74891049,"R$ 15,00",
74891050,74891125,"R$ 15,00",
74891130,74891135,"R$ 15,00",
